pos:	score:
0	-55.006
50	-51.01
100	-41.402
150	-39.115
200	-41.429
250	-38.733
300	-31.503
350	-14.566
400	-16.025
450	-31.25
500	-41.591
550	-46.05
600	-53.533
650	-36.278
700	-18.569
750	-19.364
800	-12.308
850	-0.00500000000001
900	-10.408
950	1.951
1000	4.017
1050	-6.462
1100	-20.134
1150	-22.069
1200	-28.922
1250	-34.372
1300	-33.828
1350	-53.377
1400	-63.462
1450	-65.121
1500	-45.223
1550	-33.142
1600	-41.192
1650	-33.353
1700	-28.444
1750	-18.4
1800	-6.519
1850	-5.981
1900	-4.445
1950	-28.439
2000	-16.265
2050	-20.001
2100	-23.504
2150	-7.051
2200	-7.914
2250	-22.584
2300	-38.526
2350	-31.524
2400	-33.292
2450	-16.231
2500	-6.774
2550	-8.008
2600	-18.318
2650	-24.809
2700	-28.824
2750	-54.931
2800	-63.439
2850	-55.78
2900	-41.959
2950	-22.741
3000	0.828
3050	-9.318
3100	-26.527
3150	-18.632
3200	-18.968
3250	-27.243
3300	-31.477
3350	-40.672
3400	-33.988
3450	-20.761
3500	-12.492
3550	-15.632
3600	-48.867
3650	-60.989
3700	-68.78
3750	-62.039
3800	-43.052
3850	-42.261
3900	-42.434
3950	-30.435
4000	-14.211
4050	20.008
4100	48.949
4150	55.438
4200	59.355
4250	57.833
4300	50.243
4350	52.1
4400	45.59
4450	48.059
4500	68.595
4550	83.958
4600	89.107
4650	89.66
4700	80.006
4750	65.38
4800	63.299
4850	51.176
4900	36.755
4950	36.723
5000	29.162
5050	24.164
5100	13.459
5150	7.933
5200	-2.013
5250	-6.051
5300	10.266
5350	-6.427
5400	-15.205
5450	-31.479
5500	-60.863
5550	-40.739
5600	-16.742
5650	-12.365
5700	18.801
5750	18.832
5800	8.026
5850	13.038
5900	-10.615
5950	-39.562
6000	-54.971
6050	-65.907
6100	-68.644
6150	-53.688
6200	-47.353
6250	-40.235
6300	-39.076
6350	-53.534
6400	-38.134
6450	-21.135
6500	-16.583
6550	-0.479
6600	-11.744
6650	-37.042
6700	-44.396
6750	-66.888
6800	-82.069
6850	-90.164
6900	-86.203
6950	-76.322
7000	-82.482
7050	-72.548
7100	-69.252
7150	-54.136
7200	-27.157
7250	-7.864
7300	3.353
7350	3.706
7400	6.325
7450	3.583
7500	3.792
7550	7.008
7600	-0.671
7650	-9.063
7700	-8.451
7750	-17.395
7800	-22.959
7850	-28.244
7900	-32.886
7950	-22.983
8000	-7.296
8050	0.144
8100	-1.564
8150	-14.126
8200	-14.79
8250	-11.481
8300	-2.167
8350	12.877
8400	14.682
8450	8.256
8500	-0.171
8550	-3.582
8600	-6.813
8650	-1.14
8700	4.02
8750	1.02
8800	-11.367
8850	-22.889
8900	-31.734
8950	-39.156
9000	-41.321
9050	-38.689
9100	-35.564
9150	-25.183
9200	-13.676
9250	-19.494
9300	-11.227
9350	-12.883
9400	-24.252
9450	-30.992
9500	-61.423
9550	-78.953
9600	-69.335
9650	-46.361
9700	-29.151
9750	-16.052
9800	-18.677
